id,transliteration,translation
3700,hepēru,to dig
3701,herru,to get back home
3702,herû,excavated
3703,herû,to dig
3704,herû,excavate
3705,herīnu,grass-seed
3706,herṣu,fragment
3707,herṣu,cutting
3708,herṭu,(insect) bore hole
3709,heslu,weaned
3710,hesmu,buckle
3711,hesmu,clasp
3712,hesû,to cover up
3713,hesû,shroud
3714,hesīru,scrap (of cloth)
3715,hetnu,1/60 shekel
3716,hewatumma,to make journey to
3717,heštaruhlu,tailor
3718,heštiri,garrison
3719,hiaruhhe,gold
3720,hibabītu,bride
3721,hibbu,thicket
3722,hibiltu,wrongdoing
3723,hibiltu,damage(s)
3724,hibištu,crushed pieces (of aromatic wood)
3725,hibru,group of fruit
3726,hibtu,robbery
3727,hiburnu,sūtu-measure of b. h.
3728,hibûtu,secrecy
3729,hibšu,recess
3730,hibšu,niche
3731,hibṣu,bump
3732,hibṣu,lump
3733,hidiātu,joy
3734,hidiātu,rejoicings
3735,hidûtu,joy
3736,hidûtu,rejoicing
3737,hilahuli,doorkeeper
3738,hilibû,the underworld
3739,hilištu,scrapings
3740,hilištu,raked-out matter
3741,hillu,covering
3742,hillutu,creeping
3743,hilpu,milk
3744,hiltu,sleep
3745,hilāni,portico(ed building)
3746,hilēpu,willow
3747,hilšu,scraping(s)
3748,hilšu,raking(s)
3749,hilṣu,filtration
3750,hilṣu,combed
3751,hilṣu,filtered materials
3752,hilṣu,official in charge of b. h.
3753,himiltu,plan
3754,himittu,excuse(s)
3755,himittu,frostiness
3756,himištu,snapped off piece
3757,himištu,trimming
3758,himmatu,collected materials
3759,himmatu,collection
3760,himmu,h. is written
3761,himsātu,wrongful possessions
3762,himtu,leather skin
3763,himtu,pouch
3764,himāru,donkey
3765,himētu,butter
3766,himētu,ghee
3767,himšu,(act of) snapping off
3768,himṣu,(commercial) profit
3769,himṣu,plundered goods
3770,himṣu,fatty tissue
3771,himṭu,burning
3772,hinhinu,flour of h.
3773,hiniqtu,constriction
3774,hinnu,ship's cabin
3775,hinqu,constriction
3776,hinzūru,apple (tree)
3777,hippu,injury
3778,hippu,damaged place
3779,hipītu,breach
3780,hiriṣtu,deduction
3781,hirûtu,(act of) excavation
3782,hirītu,ditch
3783,hirītu,channel
3784,hisru,cutting(s)
3785,hissatu,understanding
3786,hissatu,mention
3787,hisûtu,pressure
3788,hisītu,maltreatment
3789,hitbāṣu,very joyful
3790,hitmuṭiš,very quickly
3791,hitrubu,very desolate
3792,hittu,lintel
3793,hittu,riddle
3794,hiādu,to say
3795,hiādu,pronounce
3796,hiālu,to be in labour
3797,hiālu,exude
3798,hiāpu,to cleanse
3799,hiāpu,purify
3800,hiāqu,to mix (up)
3801,hiāru,to choose
3802,hiāšu,to hurry
3803,hiāšu,hasten
3804,hiāṭu,to supervise
3805,hiāṭu,check
3806,hiāṭu,weigh (out)
3807,hišihtu,requirement
3808,hišû,debt-note
3809,hiššatu,swelling
3810,hiššumaku,balancing payment
3811,hiššā'u,superb
3812,hiššā'u,fine
3813,hiššānu,thorn
3814,hiššānu,needle
3815,hiššānu,pin
3816,hiṣbu,luxuriance
3817,hiṣbu,plenty
3818,hiṣbu,chip(ping)s
3819,hiṣibtu,chip
3820,hiṣnu,protection
3821,hiṣpatu,insolence
3822,hiṣṣu,reed bundle
3823,hiṣṣu,gravel
3824,hiṭītu,shortfall
3825,hiṭītu,loss
3826,hiṭītu,crime
3827,hiṭṭatu,excavation
3828,huballu,pit
3829,huballu,trench
3830,hubbu,buzz(ing)
3831,hubbu,whining
3832,hubbultu,debt(s)
3833,hubbulu,indebted
3834,hubbušu,swollen up
3835,hubbuṣu,very swollen
3836,hubbuṣu,exuberant
3837,hubtu,robbery
3838,hubtu,plunder
3839,hubullu,debt
3840,hubullu,interest-bearing loan
3841,hubullu,interest
3842,hubuttu,interest-free loan
3843,hubuttūtu,interest-free loan
3844,hubāṣu,exuberant one
3845,hubšu,dust
3846,hubšu,flotsam
3847,hubūru,(twin) jars
3848,hubūru,bustle
3849,hubūru,clamour
3850,hubūtu,thicket
3851,huddudu,deeply incised
3852,huduššu,frog (figure)
3853,huduššû,marriage celebration
3854,huhhītu,expectoration
3855,huhhītu,vomit
3856,huhāriš,as with a bird-snare
3857,huhāru,bird-snare
3858,huk,wood
3859,hulamīsu,chamaeleon
3860,huliam,helmet
3861,hullu,neck ring
3862,hullu,torc
3863,hulluqiš,in order to destroy
3864,hullānu,(cloth) cover
3865,hullānu,wrap
3866,hulmiṭṭu,dragon
3867,hulmiṭṭu,kind of lizard
3868,hulmuna,lamp
3869,hulqu,lost property
3870,hultuppu,evilly striking
3871,hultuppû,(exorcist's) rod
3872,huluqqā'u,(commercial) loss
3873,hulû,shrew
3874,hulālu,bird's-wing h. stone
3875,hulālû,like h. stone
3876,hulāqu,worn-out garment
3877,humalītu,friendly
3878,humalītu,sympathetic
3879,humbabītu,Humbaba (figurine)
3880,humbiṣūtu,lump of dough
3881,hummuru,crippled
3882,hummusu,to pressurize
3883,hummusu,oppress
3884,hummušu,1/5 (shekel)
3885,hummušu,snapped off
3886,hummuṭiš,very quickly
3887,hummuṭu,quick
3888,hummuṭu,very hot
3889,humušû,five-year-old
3890,humušû,of five individuals
3891,humušā,five each
3892,humālu,sympathy
3893,humāmātu,detritus
3894,humāmātu,jetsam
3895,humīru,lump
3896,humšu,one-fifth
3897,humūšu,(the number) five
3898,humṣirtu,female mouse
3899,humṣīru,(large) mouse
3900,humṭu,haste
3901,humṭu,heat
3902,humṭu,fever
3903,hunnubu,very thriving
3904,hunnuṭu,(state of) ripening
3905,hunnû,to give shelter
3906,hunnû,lodge
3907,hunzû,lame
3908,hunābu,thriving
3909,hunību,shoot
3910,hunību,seedling
3911,hunṭu,ripeness
3912,hunṭu,maturity
3913,huppalû,mace
3914,huppu,guard
3915,huppu,hole
3916,huppu,pit
3917,huppudu,blind
3918,huppudu,to blind
3919,huppû,broken (up)
3920,huppûtu,skill of cultic dancer
3921,huptu,superiority
3922,huptu,hole
3923,huptu,hollow
3924,hupû,fragment
3925,hupšiš,as a plebeian
3926,hupšu,(member of) lower class
3927,huralbu,bed
3928,hurbabillu,chamaeleon
3929,hurbu,desert
3930,hurbāšu,frost
3931,hurbāšu,terror
3932,hurdatu,cross-beam
3933,hurdatu,female pudenda
3934,hurdatānu,like a hurdatu
3935,hurdu,door mat
3936,hurdu,posthumous child
3937,hurhummatu,foam
3938,hurhummatu,scum
3939,hurhutūtu,arrow
3940,huribtu,desert
3941,hurpatu,tent
3942,hurpu,blood clot
3943,hurpū,early crop
3944,hurratu,hole
3945,hurri,ever (after)
3946,hurru,hole
3947,hurrupu,(very) early
3948,hurruru,deeply incised
3949,hurrušu,bound
3950,hurruṣu,furrowed
3951,hurruṣu,incised
3952,hursānu,river ordeal
3953,huruppu,(metal) dish
3954,huruppu,pelvic basin
3955,hurādu,soldier
3956,hurādu,army
3957,hurāpu,spring lamb
3958,hurātu,ladder
3959,hurāṣu,gold
3960,hurāṣānu,goldfinch
3961,hurīzu,villa
3962,hurīzu,palace
3963,huršiānu,package
3964,huršu,(kitchen) storeroom
3965,huršu,larder
3966,huršāniš,like a mountain
3967,huršānu,mountain(s)
3968,husirtu,broken piece
3969,hussuru,broken off
3970,husāru,haematite
3971,husīnu,h. man
3972,hutenzû,to be(come) lame
3973,hutnu,(legal) guardian
3974,hutpu,arrowhead
3975,huttumumma,to enclose
3976,huttutu,louse ridden
3977,huzirtu,sow
3978,huzirtu,female pig
3979,huzzumu,mutilated
3980,huzālu,gazelle kid
3981,huzīru,pig
3982,huzīrānu,Piggy
3983,hušahhu,need
3984,hušahhu,shortage
3985,hušahhu,famine
3986,hušakašu,disposal
3987,hušakašu,disposition
3988,hušauru,prisoner
3989,hušaurūtu,captivity
3990,hušinu,strength
3991,hušranni,all humanity
3992,hušumma,to tie up (to)
3993,hušuātu,strength
3994,hušû,(metal) scraps
3995,hušāšu,rejoicer
3996,huššu,salve
3997,huššulu,crushed
3998,huššulu,bruised
3999,huššû,red
4000,huṣannu,sash
4001,huṣannu,belt
4002,huṣābu,twig
4003,huṣābu,branch
4004,huṣābu,stick
4005,huṣābu,splinter
4006,huṣṣuṣu,snapped off
4007,huṭartu,stick
4008,huṭartu,staff
4009,huṭāru,branch
4010,huṭāru,stick
4011,huṭāru,staff
4012,huṭṭimmu,snout
4013,huṭṭimānu,snouty
4014,hâbu,to love
4015,hâlu,to melt (away)
4016,hâpu,to fear
4017,hâru,donkey stallion
4018,hâsu,to install
4019,hâtu,to seize prey
4020,hâšu,to be anxious
4021,hâšu,to give
4022,hâṭu,(instalment of) payment
4023,hûratu,madder (Rubia tinctorum)
4024,hā'irūtu,status of consort
4025,hā'iṭu,watcher
4026,hā'iṭānu,the one who weighed out
4027,hā'iṭūtu,function of night-watchman
4028,hābibu,murmurer
4029,hābilu,criminal
4030,hābilu,wrongdoer
4031,hābilu,trapper
4032,hābitu,plunderer
4033,hābiṣu,pulverizing
4034,hābītu,(female) drawer of water
4035,hādilu,knotter
4036,hādû,(malevolent) rejoicing
4037,hādû,gloating
4038,hālilu,spy
4039,hālipu,prosecutor
4040,hāliṣtu,(female) wool-comber
4041,hālu,maternal uncle
4042,hālu,(black) mole
4043,hālu,vinegar
4044,hāmimu,(grain) gatherer
4045,hāmišu,(stalk-)snapper
4046,hāmu,raft
4047,hāmītu,hummer
4048,hāmītu,sand-wasp
4049,hāmū,chaff
4050,hāmū,rubbish
4051,hānibu,luxuriant
4052,hānūtu,a shop
4053,hāpiru,(class of) vagrant
4054,hārali,door
4055,hāripānu,early riser
4056,hātu,terror
4057,hātu,panic
4058,hāwiru,husband
4059,hāziru,helper
4060,hāzû,croaker
4061,hāṣibu,(reed) cutter
4062,hēpû,breaker
4063,hēru,totality
4064,hērû,digger
4065,hēya,watch-tower
4066,hību,beloved
4067,hīltu,exudation
4068,hīlu,exudation
4069,hīlu,resin
4070,hīlū,labour pains
4071,hīlū,birth pangs
4072,hīpu,break(age)
4073,hīpu,purified
4074,hīqu,mixed
4075,hīqu,diluted
4076,hīrtu,(equal ranking) wife
4077,hīsu,(sealed) envelope
4078,hīštu,thorn bushes
4079,hīštu,sluice
4080,hīšu,band
4081,hīšu,strap
4082,hīṭu,error
4083,hīṭu,lack
4084,hīṭu,crime
4085,hīṭu,penalty
4086,hīṭu,payment
4087,hūbu,cleaning
4088,hūdu,happiness
4089,hūdu,pleasure
4090,hūlu,way
4091,hūlu,road
4092,hūpu,(wheel) rim
4093,hūpu,ring
4094,hūpu,fear
4095,hūqu,step
4096,hūqu,rung (of ladder)
4097,hūru,son
4098,hūšu,red (colour)
4099,hūṣu,pain
4100,i,let's
4101,i,come on
4102,i'lu,contract
4103,i'lu,bond
4104,i'lu,band
4105,i'lu,binding
4106,ibahu,womb
4107,ibbû,19th day of month
4108,ibbû,loss
4109,ibilu,camel
4110,ibilu,dromedary
4111,ibissû,(financial) loss
4112,ibratu,(outdoor) cult niche
4113,ibru,friend
4114,ibru,colleague
4115,ibrû,sealed document
4116,ibrētu,radius and ulna
4117,ibrūtu,friendship
4118,ibītu,pus
4119,ibšu,mat
4120,iddanna,if necessary
4121,iddanna,at a pinch
4122,iddanna,in any case
4123,iddu,sharp end
4124,iddu,point
4125,idiltu,locking
4126,idiltu,lock-up
4127,idiptu,wind
4128,idiptu,gust
4129,idirtu,misery
4130,idirtu,trouble
4131,idirtu,dismay
4132,idišam,side by side
4133,idišam,in columns
4134,idru,saltpetre
4135,idrānu,potash
4136,idu,arm
4137,idu,side
4138,idu,strength
4139,idu,wage
4140,idugallu,head doorkeeper
4141,igartu,(a single) wall
4142,igiballu,orchard
4143,igibrû,storm
4144,igibû,reciprocal of reciprocal
4145,igidalû,with a single eye
4146,igigallu,wisdom
4147,igigallu,wise man
4148,igigallūtu,wisdom
4149,igigubbû,coefficient
4150,igimtu,anger
4151,igimtu,rage
4152,iginutukû,blind
4153,igirû,heron
4154,igisû,contribution
4155,igisû,gift
4156,igitennu,fraction
4157,igitennu,quotient
4158,igišgulû,finest olive-oil
4159,igištû,the very first
4160,igru,hire
4161,igru,wage
4162,igulû,fine ointment
4163,igulû,oil
4164,igû,eye
4165,igû,reciprocal
4166,igû,prince
4167,igû,leader
4168,igāriš,like a wall
4169,igāru,wall
4170,ihenunnakku,precious oil
4171,ihzu,learning
4172,ihzu,education
4173,ihzu,setting
4174,ihzu,mount
4175,ihzu,whip
4176,ihzētu,decorative inlay
4177,ihzētu,studding
4178,ikimtu,atrophied part
4179,ikkaru,farmer
4180,ikkaru,ploughman
4181,ikkarūtu,farming
4182,ikkarūtu,ploughing
4183,ikkarūtu,cultivation
4184,ikkibu,taboo
4185,ikkillu,lamentation
4186,ikkillu,clamour
4187,ikkillu,uproar
4188,ikku,mood
4189,ikku,temperament
4190,ikku,door
4191,ikkû,your(s)
4192,ikkānû,your(s)
4193,iklu,darkness
4194,iklu,victim
4195,ikribu,prayer
4196,ikribu,dedication
4197,ikribu,blessing
4198,ikû,field
4199,ikūku,rancid oil
4200,ildu,offspring
4201,ildu,young
4202,ilimtumma,to oblige
4203,ilimtumma,bind
4204,ilittu,birth
4205,ilittu,offspring
4206,iliš,like a god
4207,ilkakātu,ways
4208,ilkakātu,activities
4209,ilkakātu,(separate) ilku payments
4210,ilku,(state) service
4211,ilku,hip area
4212,illatu,band
4213,illatu,group
4214,illatu,rejoicing
4215,illatu,celebration
4216,illu,partner
4217,illu,comrade
4218,illu,high water
4219,illu,flood
4220,illurgišdilû,throwing stick
4221,illurtu,handcuffs
4222,illā,without
4223,illātu,saliva
4224,illūriš,like a (red) flower
4225,illūru,rouge
4226,ilqu,leech
4227,iltappu,loincloth
4228,iltu,goddess
4229,iltu,chaff
4230,ilu,god
4231,ilu,deity
4232,ilānû,favoured by god
4233,ilānû,lucky
4234,ilūtu,godhead
4235,ilūtu,divinity
4236,ilṣu,loins
4237,ilṣu,joy
4238,imbariš,like fog
4239,imbariš,cloud
4240,imbaru,fog
4241,imbaru,mist
4242,imbû,fibre
4243,imbû,algae
4244,imbû,scum
4245,imdu,support
4246,imdu,imposition
4247,imdullu,(clay) lid
4248,imgurru,clay envelope
4249,imhulliš,like a storm
4250,imhullu,destructive wind
4251,imhullu,storm
4252,imirtu,sight
4253,imirtu,view
4254,imitta,on the right
4255,imittu,right side
4256,imittu,the right
4257,imittu,support
4258,imittu,imposition
4259,imištu,contraction
4260,immertu,ewe
4261,immeru,sheep
4262,immu,heat (of day)
4263,immu,daytime
4264,immugubbû,exercise tablet
4265,immû,tablet
4266,immû,record
4267,immāniš,in daytime
4268,imna,on the right
4269,imniš,on the right
4270,imnu,right (side
4271,imnu,hand)
4272,imnû,(lying) on the right
4273,imnītu,she on the right
4274,imriqqu,clay sealing
4275,imriqqu,bulla
4276,imru,observation
4277,imrû,fodder
4278,imrû,family
4279,imrû,clan
4280,imsuhhu,whirlwind
4281,imtanû,tuft of black hair
4282,imtu,poison
4283,imû,tuft of black hair
4284,imēru,donkey
4285,imērūtu,donkey stock
4286,imšu,stiffness
4287,imšuguppû,list of required materials
4288,imšukku,(bun-shaped?) exercise tablet
4289,imṭû,loss(es)
4290,ina,from
4291,inanna,now
4292,inbu,fruit
4293,inbu,flower
4294,inbu,sexual appeal
4295,ingana,come on!
4296,ingâ,right now
4297,inhu,hardship
4298,inhu,trouble
4299,inimma,oh!
4300,inimmû,word
4301,inimmû,cup
4302,inimmû,bowl
4303,innabu,luxuriant
4304,innanu,now that
4305,innanu,as soon as
4306,inninnatu,Innin-goddess
4307,innu,look!
4308,innû,ours
4309,inu,when
4310,inunnakku,butter pot
4311,inzahrētu,i.-coloured (wool)
4312,inânû,very busy
4313,inû,job
4314,inû,craft
4315,inītu,team of plough-oxen
4316,inšiš,deceitfully
4317,inūma,when
4318,inūmē,when
4319,inūmīšu,in those days
4320,inūmīšu,then
4321,inūšu,at that time
4322,inūšu,then
4323,inṭatta,in need
4324,iplū,exchange equivalent
4325,ippīru,conflict
4326,ippīru,war
4327,ipqu,embrace
4328,ipqu,protection
4329,ipru,ration
4330,ipru,subsistence allowance
4331,iptennu,meal(-time)
4332,iptu,luxuriance
4333,ipu,membrane
4334,ipu,afterbirth
4335,ipītu,clouding over
4336,ipšu,deed
4337,ipšu,action
4338,ipšu,sorcery
4339,ipṭiru,ransom (money)
4340,ir'emu,loved one
4341,irarazakku,lamentation prayer
4342,irhu,aggressiveness
4343,irhu,insolence
4344,iri'u,dregs
4345,iri'u,lees
4346,iria,side by side
4347,irimmu,bead (necklace)
4348,irtu,breast
4349,irtu,chest
4350,irtānû,with breasts
4351,iru,i. of malt
4352,irītu,guidance
4353,ishappu,villain
4354,ishappu,rogue
4355,ishu,arm
4356,ishu,allocation
4357,ishunnatu,bunch of grapes
4358,isihtu,allocation
4359,isikku,hard
4360,isiktu,allocation
4361,isiltu,swelling
4362,isiltu,inflation
4363,isimmānu,ration (of flour and malt)
4364,isinnu,festival
4365,isiqtu,engraving
4366,isiqtu,scratch
4367,isirtu,incarceration
4368,isirtu,(debt-)collection
4369,isqu,lot
4370,isqu,share
4371,isqūqu,i. bread
4372,isru,exacted payment
4373,issahîš,together
4374,issu,woman
4375,issu,wife
4376,issurri,perhaps
4377,istatirru,stater
4378,isu,jaw
4379,isāru,annexe
4380,isāru,outbuilding
4381,isītu,friendly discourse
4382,ita,adjacent to
4383,itahlaṣānu,dislocated
4384,itahlaṣānu,slipped
4385,itannu,mesh
4386,itannu,interstice
4387,itbārtu,club
4388,itbārtu,consortium
4389,itbāru,friend
4390,itbāru,colleague
4391,itbārānu,companionable
4392,itbārūtu,business partnership
4393,itbārūtu,skill
4394,itepšu,expert
4395,itepšu,competent
4396,itertu,supplementary consignment
4397,itinnu,builder
4398,itinnūtu,builder's craft
4399,itišutu,i. work
4400,itku,paralysed
4401,itkû,(wooden) peg
4402,itmû,to nod the head
4403,itpuru,wearing tiara
4404,itpēšu,expert
4405,itpēšu,competent
4406,itqu,fleece
4407,itqu,lump of dust from under s.o.'s feet
4408,itqūru,spoon
4409,ittahu,next to
4410,itti,with
4411,ittidû,francolin
4412,ittiltu,one time
4413,ittiltu,once
4414,ittu,peculiarity
4415,ittu,sign
4416,ittuhlu,messenger
4417,ittuš,clothing
4418,ittû,seed-funnel
4419,ittī,on top of that
4420,ittī,in addition
4421,itu,with
4422,itû,boundary
4423,itû,neighbour
4424,itûtu,selection
4425,itûtu,cirumference
4426,itūlu,to lie down
4427,itūlu,sleep
4428,iwītu,malicious talk
4429,izbu,misbirth
4430,izbu,foetal anomaly
4431,izhu,belt
4432,izibtu,deposit
4433,izibtu,divorce money
4434,izirtu,help
4435,izirtu,reinforcement
4436,izišubbû,stroke of lightning
4437,izqātu,fetters
4438,izqātu,handcuffs
4439,izru,curse
4440,izuzzu,to stand
4441,izzidarû,bed with side-rest
4442,izzimtu,desire
4443,izzimtu,objective
4444,izzirtu,curse
4445,izziru,curse
4446,izīru,arm
4447,izīru,wing
4448,iš,for
4449,išariš,correctly
4450,išariš,normally
4451,išartu,prosperity
4452,išaru,straight
4453,išaru,correct
4454,išaru,normal
4455,išaru,penis
4456,išarūtu,correct state
4457,išarūtu,normality
4458,išburna[tu]?,pine cone
4459,išdihu,profit(able business)
4460,išdu,foundation
4461,išdu,base
4462,išertu,normal quantity
4463,išhar,blood
4464,išhilṣiš,into sherds
4465,išhilṣu,(pot)sherd
4466,išhiuli,contract
4467,išhiṭu,razzia
4468,išhiṭu,raid
4469,išhû,bridegroom
4470,išhû,husband
4471,išiktu,marshland
4472,išippūtu,rôle
4473,išippūtu,position of a purification priest
4474,išittu,storeroom
4475,išittu,treasury
4476,išittu,foundation
4477,išittu,base
4478,iškihhuru,ointment-mixer
4479,iškinū,supplementary payment
4480,išku,testicle
4481,išku,son
4482,iškāru,work assignment
4483,iškūru,wax
4484,išpallurtu,cross
4485,išpardu,horse-bit
4486,išpartu,female weaver
4487,išparu,weaver
4488,išparūtu,weaver's craft
4489,išparūtu,guild
4490,išpattalu,overnight accommodation
4491,išpatu,quiver
4492,išpiku,stores (of crops)
4493,išpiku,grain-bin
4494,išqillatu,(a type of) shell
4495,išqippu,earthworm
4496,išru,enclosed village
4497,išru,tithe
4498,ištagurrû,(offerings) returned from sanctuary
4499,ištartu,goddess
4500,ištaru,goddess
4501,ištarāniš,to the goddess
4502,ištarīu,man dedicated to Ištar
4503,ištenūtu,single entity
4504,išti,with
4505,ištiyû,first
4506,ištiššu,once
4507,ištu,from
4508,ištu,out of
4509,ištu,since
4510,ištu,after
4511,ištuhhu,whip
4512,ištâtan,each one
4513,ištānu,North
4514,ištānānu,north(ern)
4515,ištēn,one
4516,ištēn,single
4517,ištēn,the first one
4518,ištēn,once
4519,ištēniš,together
4520,ištēnâ,one each
4521,ištēnâ,one by one
4522,ištēnâ,all alike
4523,ištēnâ,all together
4524,ištēnû,single
4525,ištēnīšu,for the first time
4526,ištēnšeret,eleven
4527,ištēnšerû,eleventh
4528,ištēnšerīšu,eleven times
4529,ištūma,if indeed
4530,išû,to have
4531,išānû,important
4532,išātiš,on fire
4533,išātiš,ablaze
4534,išātu,fire
4535,išīnu,stalk
4536,išīnu,stem
4537,iššanû,hers
4538,iššanû,belonging to her
4539,iššiakku,city-ruler
4540,iššiakku,ensi
4541,iššiakku,(a class of farmer)
4542,iššiakkūtu,ensi-ship
4543,iššini,they
4544,iššu,woman
4545,iššu,wife
4546,iššunu,they
4547,iššunû,theirs
4548,iššā,although
4549,iššī,she
4550,iššū,he
4551,iṣratu,plan
4552,iṣratu,ground-plan
4553,iṣu,tree
4554,iṣu,wood
4555,iṣurtu,drawing
4556,iṣurtu,plan
4557,iṣṣurtu,female bird
4558,iṣṣūriš,like a bird
4559,iṣṣūru,bird
4560,iṭṭû,bitumen
4561,ka''û,to wave
4562,ka'inimmaku,wish
4563,ka'inimmaku,plan
4564,ka'iššu,travelling merchant
4565,ka'urrāku,carver of reliefs
4566,kaba'u,reed foliage
4567,kaballu,leggings
4568,kabartu,thickness
4569,kabattu,liver
4570,kabbaru,very thick
4571,kabbu,glowing
4572,kabbuttu,counterweight (for jewellery)
4573,kabbā'u,stitcher
4574,kabittu,main body (of troops)
4575,kabittu,left hand
4576,kablu,(furniture) foot
4577,kabnu,casing
4578,kabnu,tyre (of wheel)
4579,kabru,thick
4580,kabru,solid
4581,kabrūtu,thickness
4582,kabsu,continuous
4583,kabsu,young sheep
4584,kabtu,heavy
4585,kabtu,important
4586,kabtūtu,majesty
4587,kabzuzuttu,rôle of educated person
4588,kabzuzû,educated person
4589,kabû,plant pod
4590,kabābu,shield
4591,kabābu,to burn
4592,kabālu,to be paralysed
4593,kabāru,to be(come) thick
4594,kabāru,solid
4595,kabāsu,to tread
4596,kabātu,to be(come) heavy
4597,kabāšu,to put headgear on
4598,kabšarru,stone-carver
4599,kabšarrūtu,profession of stone-carver
4600,kabūtu,(animal) dung
4601,kadabbedû,oral paralysis
4602,kadabbedû,aphasia
4603,kadammu,dungeon
4604,kadriš,aggressively
4605,kadru,rearing up
4606,kadru,aggressive
4607,kadrû,present
4608,kadrû,greeting gift
4609,kadrūtu,aggressiveness
4610,kaduhhû,with gaping mouth
4611,kadādu,to rub in
4612,kadādu,anoint
4613,kadāru,to rear up
4614,kadāru,to delimit
4615,kadāru,to labour
4616,kadāšu,celebration
4617,kagallu,(a kind of) waste land
4618,kahšu,throne
4619,kakardinnu,victualler
4620,kakikku,recorder
4621,kakkabiš,like stars
4622,kakkabtu,star
4623,kakkabu,star
4624,kakkartu,bun (ingot)
4625,kakkišatti,like a weasel
4626,kakkišu,weasel
4627,kakku,stick
4628,kakku,weapon
4629,kakkullu,mash-tub
4630,kakkultu,mash-tub
4631,kakkû,lentil
4632,kakkūtu,a lentil?
4633,kakmû,of Kakmum
4634,kakugallūtu,profession of incantation priest
4635,kalabūnu,(kind of) locust
4636,kalakku,excavation
4637,kalakku,trench
4638,kalakku,box
4639,kalappu,pickaxe
4640,kalbatu,female dog
4641,kalbatu,bitch
4642,kalbu,dog
4643,kalbāniš,like a dog
4644,kallimu,delivery (of a person)
4645,kallu,(kind of) bowl
4646,kallâmāre,in the early morning
4647,kallû,express messenger
4648,kallû,courier
4649,kallāpu,messenger
4650,kallātu,daughter-in-law
4651,kallātu,bride
4652,kallūtu,rôle of daughter-in-law
4653,kallūtu,of bride
4654,kalmakru,(kind of) battle-axe
4655,kalmatu,insect(s)
4656,kalmatu,bug(s)
4657,kaltu,vassal(-ruler)
4658,kalummû,everything
4659,kalumtu,female lamb
4660,kalzu,precinct
4661,kalîš,totally
4662,kalû,held back
4663,kalû,detained
4664,kalû,all
4665,kalû,totality
4666,kalû,lamentation-priest
4667,kalû,orpiment
4668,kalû,to hold (back)
4669,kalû,detain
4670,kalûtu,lamentation-priesthood
4671,kalûtu,tree
4672,kalāma,all (of it)
4673,kalāṣu,to contract o.s.
4674,kalāṣu,roll up
4675,kalītu,kidney
4676,kalūmatu,lamb
4677,kalūmiš,like lambs
4678,kalūmu,lamb
4679,kalūmītu,lamb-rearer
4680,kalṣu,contracted
4681,kalṣu,shrivelled
4682,kam'atu,truffle
4683,kamiššaru,pear (tree)
4684,kamkammatu,ring
4685,kamlu,angry
4686,kammu,board
4687,kammu,plaque
4688,kammālu,opponent
4689,kammālu,ill-wisher
4690,kamru,piled up
4691,kamrūtu,state of rubble
4692,kamsu,squatting
4693,kamsu,crouching
4694,kamâtiš,to outside
4695,kamîš,in a bound state
4696,kamû,bound
4697,kamû,to bind
4698,kamû,fetters
4699,kamûtu,bondage
4700,kamādu,to beat cloth
4701,kamālu,to be(come) angry
4702,kamāmu,to nod the head
4703,kamānu,loaf (baked on) the coals
4704,kamāriš,in the trap
4705,kamāru,hunting trap
4706,kamāru,defeat
4707,kamāru,to pile up
4708,kamāru,accumulate
4709,kamāsu,to gather in
4710,kamāsu,to kneel
4711,kamāsu,squat down
4712,kamāṣu,rest period
4713,kamītiš,in bondage
4714,kamītu,bondage
4715,kamītu,(kind of) ring
4716,kamūnu,cumin
4717,kanaktu,oil/seed of k.
4718,kandaku,(boat's) hold
4719,kandu,jar
4720,kandurû,rhyton
4721,kaniktu,sealed document
4722,kankannu,(wooden) pot stand
4723,kanku,sealed
4724,kanniku,sealer
4725,kanniku,one who seals
4726,kannu,(vessel-)stand
4727,kannu,(a large vessel)
4728,kannu,band
4729,kannu,binding
4730,kannu,shoot
4731,kannu,seedling
4732,kannūtu,accommodation
4733,kannūtu,board
4734,kantappu,fish's tail
4735,kanzūzu,gums
4736,kanû,to care (for)
4737,kanāku,to seal
4738,kanānu,to roll up
4739,kanāzu,to store away
4740,kanāšu,to bow down
4741,kanāšu,submit
4742,kanāšu,to gather in
4743,kanīku,sealed document
4744,kanšiš,submissively
4745,kanšu,submissive
4746,kanšu,work-team
4747,kanšūtu,submissiveness
4748,kanūtu,the cherished
4749,kaparru,shepherd-boy
4750,kaparru,spadix
4751,kaparrūtu,work of shepherd-boy
4752,kapdu,urgently
4753,kapdu,quickly
4754,kapkapu,powerful
4755,kappaltu,groin
4756,kappu,wing
4757,kappu,hand
4758,kappu,palm of hand
4759,kappultu,wrapping
4760,kapru,village
4761,kapru,clipped
4762,kapsû,buyer
4763,kaptarû,Cretan
4764,kaptukkû,two-sūtu container
4765,kapādu,to plan
4766,kapādu,scheme
4767,kapālu,to roll up
4768,kapālu,wind up
4769,kapāpu,to curve
4770,kapāpu,bow
4771,kapāru,to peel
4772,kapāru,strip
4773,kapāru,to wipe (clean)
4774,kapāru,to smear
4775,kapātu,to bring together
4776,kapātu,collect
4777,kapāšu,be abundant
4778,kapāṣu,to bend back
4779,kapāṣu,distort
4780,kapṣu,bent up
4781,kapṣu,distorted
4782,kaqdâ,constantly
4783,karallu,goad
