,oare_id,aligned_transliteration,aligned_translation,comment
348,1.0,12 GÍN KÙ.BABBAR i-ṣé-er a-šùr-DU₁₀ DUMU i-dí-ba-ni en-na-sú-in i-šu,Ennam-Suen has a claim of 12 shekels of silver on Aššur-ṭāb son of Idi-bāni,Debt clause
349,2.0,ITU.KAM na-ar-ma-ak-a-šur,month II / III,Month reference; interval slightly adjusted to include month name
350,3.0,li-mu-um e-lá-li DUMU i-ku-nim,eponymy of Elalī son of Ikūnum,Eponym date
351,4.0,ṣí-ib-tám ki-ma a-wa-at kà-ri-im kà-né-eš ú-ṣa-áb,He will add interest according to the regulation of of the Kanesh colony,Interest clause
352,4b488358-7f70-408a-b5a3-860627e05b6d,a-na a-dí-da a-lá-ḫi-im ú ú-ku qí-bi-ma um-ma PUZUR₄-a-šur-ma,To Adida, Al-aḫum and Uku from Puzur-Aššur:
353,4be87c06-aa69-4f7c-8ed3-c384dfffe88a_0.0,a-na a-dí-dá a-lá-ḫi-im ú ú-ku qí-bi₄-ma um-ma PUZUR₄-a-šùr-ma,To Adida, Al-aḫum and Uku from Puzur-Aššur:
354,4bfc19b2-851a-4efd-9982-57b41298303a_0,a-na ku-li-a a-šur-lá-ma-sí ù a-šur-lá-ma-sí-ma qí-bi-ma um-ma a-šur-e-mu-qí a-na a-šur-lá-ma-sí DUMU PÚZUR-ì-lí-qí-bi₄-ma,"To Kuliya, Aššur-lamassī and Aššur-lamassī, thus says Aššur-emūqī, to Aššur-lamassī, son of Puzur-ilī in particular:","Envelope address and sender formula; suggested interval (0,13) adjusted to end before token 12 (3 GÍN)"
355,4bfc19b2-851a-4efd-9982-57b41298303a_1,3 GÍN KÙ.BABBAR iš-tù li-mì-im a-šur-ma-lik DUMU šu-ḫa-ni-iš a-dí-na-kum,"You have 3 shekels of silver, given by me, since the eponymy of Aššur-mālik, son of šu-Haniš.","Interval (13,21) corrected to start at token 12; a-dí-na-kum closes the clause"
356,4bfc19b2-851a-4efd-9982-57b41298303a_2,um-ma a-ta-ma 3 TÚG ša ṣú-ùḫ-ri-im ša a-ki-dí-e iš-tù a-lim{ki} ú-šé-lá-a-kum,You said: I will bring up for you from the City 3 Akkadian garments for children.,Direct speech introduced by um-ma a-ta-ma
357,4bfc19b2-851a-4efd-9982-57b41298303a_3,TÚG.ḪI.A tù-šé-li-a-ma a-ni-ša-am lá té-ta-ar-ba-am ḫa-ra-kà ta-ta-lá-ak,"You brought these textiles up, but did not enter here with me, you went away on a journey.",Three short clauses describing the action and departure
358,4bfc19b2-851a-4efd-9982-57b41298303a_4,a-ḫi a-ta be-lí a-ta 3 TÚG.ḪI.A ša ṣú-ùḫ-ri-im ša tù-šé-li-a-ni a-na ku-li-a dí-in,"Please my brother, my lord, give these three garments for children that you brought up (from Assur) to Kuliya.",Petition formula with a-ḫi a-ta be-lí a-ta
359,4bfc19b2-851a-4efd-9982-57b41298303a_5,šu-ma TÚG.ḪI.A ta-ad-nu KÙ.BABBAR ší-im-šu-nu ú-sí-im-ma a-na ku-li-a dí-in,"If these garments have already been sold, establish how much silver they yielded and give it to Kuliya.",Conditional clause with šu-ma
360,4bfc19b2-851a-4efd-9982-57b41298303a_6,a-ḫi a-ta IGI a-šur a-kà-ra-ba-ku-um,"(Then) my dear brother, I will pray for you before Aššur.","Closing formula of first section; short segment fits interval (61,66)"
361,4bfc19b2-851a-4efd-9982-57b41298303a_7,a-na a-šur-lá-ma-sí ma-ri-a qí-bi₄-ma a-na-kam ta-áp-nu-a-ma um-ma a-ta-ma KÙ.BABBAR 1 GÍN a gám-ri-a dí-na-ma ší-a-ma-tí-šu lu-šé-bi-lá-kum,Say to my son Aššur-lamassī: Here you turned to me saying: Give me a little silver for my expenses and I will send you the merchandise it yields.,New address section; direct speech embedded within
362,4bfc19b2-851a-4efd-9982-57b41298303a_8,KÙ.BABBAR a-dí-na-kum ù ša 8 GÍN KÙ.BABBAR SÍG.ḪI.A ú ú-kà-pè a-dí-na-kum um-ma a-na-ku-ma zi-ra-am a-na ma-ma-i-im ḫa-bu-lá-ku ú-ul zi-ra-am ú-ul sú-ub-ra-am šé-bi₄-lam,"I did give you silver and also wool and saddlecloths for a value of 8 shekels of silver, saying: I owe a cauldron to the man of Mamma, therefore send me a cauldron or a slave.",Long clause with um-ma a-na-ku-ma introducing inner speech; suggested interval end 108 is erroneous (text only has ~107 tokens)
363,4bfc19b2-851a-4efd-9982-57b41298303a_9,iš-tù MU.2.ŠÈ KÙ.BABBAR-pì ta-,It is now two years that you manage my silver.,Text breaks off here; tablet damaged; ta- is the beginning of a verb form (ta-[ṣa-ba-at] or similar)
364,4bfc19b2-851a-4efd-9982-57b41298303a_10,[...],[Be so kind as to give to Kuliya that silver or what has been acquired for it during its journey.],Text is broken/missing; the translation is restored from context; no transliteration survives for this segment
365,0.0,2 GÍN KÙ.KI ku-pu-ur-ší-ni-IN SIG₅ i-ṣé-er im-lik-a-šùr ir-ma-a-šur i-šu,2 shekels of -gold of fine quality Imlik-Aššur owes to Ir'am-Aššur.,Suggested interval starts at 3 but tokens 0-2 (2 GÍN KÙ.KI) belong to this clause; adjusted start to 0. The name ku-pu-ur-ší-ni-IN in guide translation appears to be a misreading; high-quality translation omits it as a separate debtor.
366,1.0,iš-tù ḫa-IR-uš-tim ša e-dí-na-a a-na 15 ḫa-am-ša-tim i-ša-qal,From the week of Edināya he will pay within 15 weeks.,Interval 9-23 adjusted to 9-16 to end at i-ša-qal.
367,2.0,šu-ma lá ìš-qúl ki-ma a-wa-at kà-ri-im ú-ṣa-áb,If he does not pay he will add (interest) in accordance with the regulation of the colony.,Interval 23-30 adjusted to 17-23; ú-ṣa-áb closes the conditional clause.
368,3.0,ITU.KAM qá-ra-a-tim li-mu-um e-lá-lí DUMU i-ku-nim IGI pí-lá-aḫ-a-šur DUMU da-nu-um-ì-lí IGI a-šur-ma-lik DUMU a-zu-za,Month VIII year eponymy of Elālī son of Ikūnum. In the presence of Pilah-Aššur son of Dannum-ilī of Aššur-mālik son of Azuza.,Covers date formula and witness list tokens 24-37.
369,4d3941a4-d04e-439f-ba7f-734e0b5f8154_0.0,15 GÍN KÙ.BABBAR i-ṣé-er ma-lá-wa-áš-ḫe DAM.GÀR i-šu,15 shekels of silver Malawašhe owes to the creditor.,Interval slightly adjusted; segment covers the debt statement up to i-šu; guide translation references same content
370,0.0,a-na ku-li-a qí-bi-ma um-ma ḫu-na-ḫu-na,To Kuliya thus says Hunahuna:,Standard epistolary opening
371,1.0,a-na-aḫ-DINGIR ú PÚZUR-a-šur i-li-ku-nim,Anah-ilī and Puzur-Aššur came here.,Verbal form i-li-ku-nim = ventive perfect
372,2.0,KÙ.BABBAR 1.3333 ma-na KÙ.BABBAR ša a-na-aḫ-DINGIR i-ḫi-ib-lu PÚZUR-a-šur áš-ra-kam-ma 14 GÍN KÙ.BABBAR ip-ta-an 1 ma-na 6 GÍN KÙ.BABBAR a-na ša-ni-im pá-qí-id,As for the silver the 1 1/3 mina of silver for which Anah-ilī had become indebted over there Puzur-Aššur consumed (for) 14 shekels of silver (the rest) 1 mina 6 shekels has been entrusted to somebody else.,Long financial accounting clause
373,3.0,um-ma a-na-aḫ-ì-lí-ma DUB ša ku-nu-ki-a bi-lá-nim-ma KÙ.BABBAR li-qí-a,Anah-ilī said: Bring me the tablet with my seal then take the silver.,Direct speech introduced by um-ma
374,4.0,DUB a-na-ku lá a-mu-a ú-šu-ra-am,But I refused to release that tablet.,Negated verb a-mu-a with ú-šu-ra-am
375,5.0,um-ma en-na-na-tum ri-ig-ma-am lá ni-na-dí DUMU i-na-a lá i-ša-me-e,Ennānātum said: We will not file a complaint lest Innaya's son hears about it.,Direct speech of Ennānātum
376,6.0,ni-ip-lá-aḫ-ma e-na-na-tum ú a-na-ku ḫu-ur-šam ni-ip-té-e-ma i-na ta-ma-lá-ki-kà ṭup-pá-am ša ku-nu-ki-šu nu-šé-li-ma ni-dí-šu-um,Since we became afraid Ennānātum and I myself we opened the storeroom and took out of your tablet coffer the tablet with his seal which we gave him.,Narrative of joint action
377,7.0,1 ma-na 6 GÍN KÙ.BABBAR a-na-ku ú-kà-al,The 1 mina and 6 shekels of silver I have in my possession.,Silver retention statement
378,8.0,2 na-áš-pè-ra-tí-kà lá i-dí-nam ú a-na-ku DUB ša a-šur-DU₁₀ lá ú-šé-er-šu-um,Since he did not give me your two letters I also did not release to him the tablet of Aššur-ṭāb.,Conditional reciprocity clause
379,9.0,ma-ma-an i-na ša-zu-za-tí-kà lá i-zi-iz,Not one of your representatives came into action.,Negative statement about representatives
380,10.0,iš-tù ṣú-ḫa-ru-ú i-li-ku-ni-ni ur-ki KÙ.BABBAR e-na-na-tim i-sà-ḫu-ru-ú mì-ma i qá-tí-šu lá i-ba-ší 1 GÍN KÙ.BABBAR ta-da-nam lá i-le-e,When the servants had come here they were looking for the silver of Ennānātum but he had absolutely nothing available (and) he was unable to give them even one single shekel of silver.,Report on servants' arrival and financial state of Ennānātum
381,11.0,ma-lá-kà,It is now up to you.,Single word conveying decision left to addressee
382,12.0,4 GÍN KÙ.BABBAR a-na-ku al-qé 2.3333 GÍN ša sà,I myself obtained 4 shekels of silver (and) I (also) took 2 1/3 shekels of Samaya.,Text breaks off; sà is beginning of Samaya's name or commodity
383,13.0,[text broken],I myself will use that silver for buying salt and then they can make themselves ready and depart.,Text lost; proposed interval inverted (117>116) indicating broken tablet
384,14.0,[text broken],As for the girl I recovered I am now well.,Text lost; proposed interval inverted (124>116) indicating broken tablet
385,0.0,a-na ku-li-a qí-bi-ma um-ma a-sà-num-ma,To Kuliya thus says Asānum:,Standard letter opening formula
386,1.0,a-ma-a dam-qá-tù-šu ša al-pì-lí ša i-na té-ga-ra-ma ú-ta-mì-ú pa-ar-sà-ti-kà a-wa-tim u-šé-ṣí-i ú šu-um-ka SIG₅ ṭá-pu-ul ú a-na-ku iš-tí-kà-ma ṭá-pu-lá-ku,"Really, this is the friendliness of Alpilī whom I made swear an oath in Tegarama - he has disclosed confidential matters of you, and your good reputation too has been besmirched and I have been besmirched together with you.",Interval adjusted to end before aq-bi-a-ku-um which begins next sentence
387,2.0,aq-bi-a-ku-um um-ma a-na-ku-ma a-wa-tí-kà al-pì-lí lá tù-lá-ma-ad a-wa-sú ú-ZA-AD,"I had told you: Do not inform Alpilī about your affairs, he ..... his word.",aq-bi-a-ku-um begins this sentence; ú-ZA-AD is the damaged verb
388,3.0,a-bi a-ta be-lí a-ta lá ta-qá-bi um-ma a-ta-ma i-qí-in-im a-šu-mì ta-pá-i-šu-ú na-áš-pè-er-tám uš-té-bi-lam,"Please my father, my lord, do not think: Out of jealousy he has sent me a letter about his partner!",Direct address with petition formula
389,4.0,ma-di-iš li-bi-i im-ra-aṣ,He has really hurt me terribly.,Short exclamatory sentence
390,5.0,a-na a-wa-tim ša a-áš-ta-me-ú a-na a-wa-tim a-ni-a-tim DINGIR lu i-de₈ a-na al-pì-lí,"For the rumors I keep hearing, for these matters god be my witness against Alpilī.",Divine witness invocation
391,6.0,um-ma šu-ut-ma a-na am-tí-kà-ma <gap> lá i-ba-ší i-na <gap>,He said to your maid: There is no ........ available.,Reported speech introduced by um-ma šu-ut-ma
392,7.0,2-ší-ta a-ša-tám da-mì-iq-tám ku-li-a e-ḫa-az i-na <gap>,Of the two [girls/maid] Kuliya will marry one as a fine wife.,Continuation of reported speech
393,8.0,am-tí-kà ka-lá-ší-na-ma tù-ba-lá-ku-um,Of/with the ........... of your maid all of them she will bring you.,ka-lá-ší-na-ma = all of them (fem.)
394,9.0,li-ba-kà lá i-na-ḫi-id,Don't be worried.,Short reassurance formula
395,10.0,e-lá-an 3 GÍN KÙ.BABBAR mì-ma wa-at-ra-am lá i-dí-ší-im,Apart from 3 shekels of silver he gave her nothing extra.,e-lá-an = apart from/beyond
396,11.0,ú ša a-da-<gap>-tim mì-ma lá i-dí-ší-im,And he did not give her any ..........,Parallel negative clause
397,12.0,ú a-ma-tum ra-qá-ma uš-ba ú li-bi₄-ša ki-ma mì-ma lá i-dí-nu-ší-ni,"Moreover, the slave-girls are idle and do nothing.",ra-qá-ma = idle/empty; ki-ma mì-ma lá = as if nothing
398,13.0,iš-té-né-ú-ma LU a-na ku <gap> ú li-ba-ša da-ni-ša-ma ma-ri-i,And because he gave her nothing they keep looking for ....... and she is very angry.,iš-té-né-ú-ma = they keep seeking; da-ni-ša-ma = very/greatly; remainder of tablet text ends here
399,14.0,[remainder of text not preserved in transliteration],"Because of these matters which Alpilī told her, when I had arrived for five days she refused to talk with me.",Text likely continues on reverse or broken section; intervals in source were marked as errors
400,15.0,[remainder of text not preserved in transliteration],......... I arrived here she was staying in the kārum and both my hands are placed on the ......... of her head.,Proposed interval markers for segments 15-22 were all given as starting from 116 indicating text loss or reversal error
401,16.0,[remainder of text not preserved in transliteration],If I had not arrived at short term we would have been seriously denunciated.,
402,17.0,[remainder of text not preserved in transliteration],She has caused me a lot of trouble.,
403,18.0,[remainder of text not preserved in transliteration],Until you meet her personally I myself will ...........,
404,19.0,[remainder of text not preserved in transliteration],She said: [For/To all........,
405,20.0,[remainder of text not preserved in transliteration],I became angry at her but she [said? ..... I will go with ..... I keep the matter [in mind!,
406,21.0,[remainder of text not preserved in transliteration],Without ..... I will go.,
407,22.0,[remainder of text not preserved in transliteration],He will ..... the ...... and then I [also will go.,
408,4eb23b20-e6ce-4c45-ac07-07d62a2ef0d0_0,ma-na KÙ.KI <gap> DUMU sà-aḫ-ru-da-nim <gap> iš-tù ḫa-mu-uš-tim ša ḫi-na-a a-na 3 ḫa-am-ša-tim i-ša-qal,? minas of <gap> owed by <gap> son of Sahrudannum. He is to pay in 3 weeks reckoned from the week of hinnaya.,Covers the opening debt statement and payment terms; interval adjusted to include full clause ending at i-ša-qal
409,4eb23b20-e6ce-4c45-ac07-07d62a2ef0d0_1,šu-ma i-na ma-lá u₄-me-šu lá iš-qúl 1.5 GÍN.TA i-na ITU.KAM a-na 1 ma-na-im ú-ṣa-áb,If he has not paid at the completion of his term he will add interest at the rate 1.5 shekel per month per mina.,Interest clause; interval (27-45) adjusted slightly to start at šu-ma
410,4eb23b20-e6ce-4c45-ac07-07d62a2ef0d0_2,ITU.KAM ša sà-ra-tim li-mu-um ša qá-tí šu-ḫu-bur IGI šu-ku-bi₄-im DUMU šu-sú-in IGI i-ku-pì-a DUMU pì-lá-aḫ-a-šur 9 ma-na URUDU KI i-zi-zi-a,Izizia owes 9 minas copper.,Includes date/witness formula before the debt entry; interval adjusted to cover witnesses and debt
411,4eb23b20-e6ce-4c45-ac07-07d62a2ef0d0_3,0.6666 ma-na AN.NA KI en-nam-a-a áš-kà-pì-im,en-nam-a-a the leatherworker owes 2/3 mina tin.,Clean alignment; interval (50-53) matches well
412,4eb23b20-e6ce-4c45-ac07-07d62a2ef0d0_4,2 GÍN KÙ.BABBAR KI šu-ku-bi₄-im lá ki-dí-im IGI PUZUR₄.IŠTAR DUMU i-kà-a 3 GÍN KÙ.BABBAR KI ú-ṣú-ra-nim,Uṣur-Anim owes 3 shekels silver.,Includes 2 shekels silver owed by Šukubim and 3 shekels owed by Uṣur-anim; interval adjusted
413,4eb23b20-e6ce-4c45-ac07-07d62a2ef0d0_5,8 GÍN KÙ.BABBAR ší-im šu-ri-im KI a-šur-{d}UTU-ši DUMU en-na-ZU 1 ku-ta-nam ù 2 TÚG <gap> kà-ru-um wa-aḫ-šu-ša-na il₅-qé,8 shekels silver price of a garment from Aššur-šamši son of Enna-Suen. 1 kutānum and 2 textiles <gap> the kārum of Wahšušana received.,Remaining text; no guide translation provided
414,0.0,a-na a-lá-ḫi-im qí-bi₄-ma um-ma SIG₅-pí-a-šur ú PUZUR₄-a-šur-ma,To Ali-ahum from Damiq-pī-Aššur and Puzur-Aššur:,Interval (0-7) confirmed correct
415,1.0,a-na-kam ki-ma ni-iš-ta-na-me-ú ma-tum da-al-ḫa-at-ni ú tí-ir-tí kà-ri-im da-na-at-ni tí-ir-tí-ni a-dí ma-lá ú ší-ni-šu i-li-kà-ku-um,When we heard repeatedly here that the land is in uproar and that the orders of the colony are strict we sent word to you once or twice.,Interval (7-22) confirmed correct
416,2.0,a-ta ú-za-ni-ma lá ta-áp-té-té-e,But you have not informed us.,Interval (22-26) confirmed correct
417,3.0,a-ma-kam ki-ma ša-lu-um KÙ.BABBAR 1 ma-na.TA ša na-áš-a-ni-ni šu-ma ḫa-ra-an sú-ki-ni-im ša-al-ma-at tí-ir-ta-kà li-li-kam ú-za-ni pì-té,There for the sake of the safety of every mina of silver that we bring send us word and inform us whether the Narrow Track is safe.,Interval adjusted to (26-42); suggested (26-42) is correct
418,4.0,lu i-na ma-ṣa-ra-tim AN.NA 10 ma-na nu-šé-ra-ba-am tí-ir-ta-kà li-li-kam-ma a-na tí-ir-tí-ni i-ḫi-id,Send word whether we shall let some 10 minas of tin enter the guard-posts and pay attention to our instructions.,Interval adjusted to (42-54); suggested end of 56 was slightly off
419,5.0,2 ma-na KÙ.BABBAR a-na pá-ni-ni šé-bi₄-lá-am,Send 2 minas of silver to us en route,Interval adjusted to (54-60); suggested (56-61) was slightly off
420,6.0,ú i-na qé-er-bi₄-ma 10 ma-na URUDU SIG₅ ša <gap> KÙ.BABBAR ṣí-pá-ra-tim <gap> e-ki-im za-áp-ru-tim šé-bi₄-lam,and send 10 minas of good copper included for x silver send bronze nails and zapru,Interval adjusted to (60-75); suggested (61-75) slightly off by one word
421,52a72ed1-d6fe-4d58-85d4-987937084fc0_0.0,um-ma ku-da-tum ú ma-ma-ḫi-ir-ma a-na e-nam-a-šur qí-bi₄-ma,From Kudātum and Man-mahir to Ennam-Aššur:,Opening formula with sender and recipient
422,52a72ed1-d6fe-4d58-85d4-987937084fc0_1.0,1 ma-na KÙ.BABBAR ša da-ra-ší ú ì-lí-dí-na ší-im e-ma-ri ku-nu-ki-šu-nu ma-nu-um-ki-a-šur DUMU a-ḫu-wa-qar na-áš-a-kum,Mannum-kī-Aššur son of Ahu-waqar brings you 1 mina of silver from Daraši and Ilī-iddina the price of donkeys under their seals.,Main body describing the bearer and the silver
423,52a72ed1-d6fe-4d58-85d4-987937084fc0_2.0,a-ma-kam KÙ.BABBAR li-iš-qú-lá-ku-ma ú ṭup-pá-áš-nu dí-in,Have them pay the silver there to you and then give them their tablet.,Instructions for payment and tablet delivery
424,54364e47-54dc-4022-9c48-9006a2fe1b53_0,KIŠIB a-šur-be-el-a-wa-tim DUMU zu-ba KIŠIB i-dí-IŠTAR DUMU a-šur-ma-lik KIŠIB en-num-a-šur DUMU a-šur-UTU KIŠIB a-bu-ša-lim DUMU a-šur-be-el-a-wa-tim 0.3333 ma-na 8 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-bu-ša-lim DUMU a-šur-be-el-a-wa-tim en-na-sú-in i-šu,Seal of Aššur-bēl-awātim seal of Zuba seal of Iddin-Ištar son of Aššur-mālik seal of Ennam-Aššur son of Aššur-šamšī seal of Abu-šalim son of Aššur-bēl-awātim. 28 shekels of refined silver Abu-šalim son of Aššur-bēl-awātim owes to Ennam-Suen.,"Seals and debt statement up to and including ""28 shekels"""
425,54364e47-54dc-4022-9c48-9006a2fe1b53_1,iš-tù ḫa-mu-uš-tim ša kà-ší-im ša qá-té a-šur-ma-lik ú en-na-sú-in ITU.KAM ma-ḫu-ur-ì-lí li-mu-um ša qá-té a-šur-na-da DUMU PUZUR₄-a-na 8 GÍN KÙ.BABBAR a-na 3 ḫa-am-ša-tim i-ša-qal,From the week of the official who took over from Aššur-mālik and Ennam-Suen month IV eponymy of the successor of Aššur-nādā son of Puzur-Anna he will pay 8 shekels within 3 weeks.,Time reference and first payment installment
426,54364e47-54dc-4022-9c48-9006a2fe1b53_2,10 GÍN KÙ.BABBAR a-na 6 ḫa-am-ša-tim i-ša-qal,10 shekels within 6 weeks he will pay,Second payment installment
427,54364e47-54dc-4022-9c48-9006a2fe1b53_3,10 GÍN wa-ar-kà-tám a-na 10 ḫa-am-ša-tim i-ša-qal,and 10 shekels he will pay later within another 10 weeks.,Third payment installment
428,54364e47-54dc-4022-9c48-9006a2fe1b53_4,šu-ma i-na u₄-me-šu ma-al-ú-tim lá iš-qú-ul ki-ma a-wa-at kà-ri-im i ITU.KAM ṣí-ib-tám ú-ṣa-áb KÙ.BABBAR ik-ri-bu ša a-šur,If he does not pay when his term is over he will add interest per month in accordance with the regulation of the colony. The silver is temple fund of Aššur.,Penalty clause and final note
429,55b115ac-6a6d-48e6-86df-ff449b4b346b_0.0,um-ma kà-ru-um kà-ni-iš-ma a-na ku-li-a ša-qí-il₅ da-tim kà-ri-im té-ga-ra-ma ù a-li i-dí-a-šùr DUMU ku-ku-lá-nim wa-áš-bu-ni,"Thus kārum Kanesh, speak to Kuliya, the dātu-payers, kārum Tegarama, and wherever Iddin-Assur s. Kukulānum is staying.",Interval 0-15; token 14 (wa-áš-bu-ni) ends the addressee clause before qí-bi-ma
430,55b115ac-6a6d-48e6-86df-ff449b4b346b_1.0,qí-bi-ma ni-kà-sí ni-sí-ma 25 ma-na 4.25 GÍN da-tám ni-iš-qúl,We have settled accounts and we paid 25 minas and 4 1/4 shekels (of silver) as dātum.,Interval 15-24; tokens 15-23
431,55b115ac-6a6d-48e6-86df-ff449b4b346b_2.0,i-dí-a-šùr a-na ni-kà-sí kà-ší-id iš-tù 5 ša-na-tim a-na wa-aḫ-šu-ša-na ú dur₄-ḫu-mi-it ni-iš-ta-pár-šu-ma a-di u₄-mì-im a-nim i-ta-ba-al-ni-a-tí,"Iddin-Aššur is liable for the settlement of accounts; since five years we keep sending messages to him to Wahšušana and Durhumit, but until this very day he holds us in play.",Interval 24-40; tokens 24-39
432,55b115ac-6a6d-48e6-86df-ff449b4b346b_3.0,a-ma-kam KÙ.BABBAR da-a-sú ša ga-me-er-tim ša-áš-qí-lá-šu,Make him pay the silver over there his dātum for a full share.,Interval 40-46; tokens 40-45
433,55b115ac-6a6d-48e6-86df-ff449b4b346b_4.0,šu-ma i-qá-bi₄ um-ma šu-ut-ma a-na ga-me-er-tim lá kà-áš-da-ku ša mì-iš-li ša-áš-qí-lá-šu,"If he objects and says: 'I cannot match the full amount', make him pay for half the amount.",Interval 46-57; tokens 46-56
434,55b115ac-6a6d-48e6-86df-ff449b4b346b_5.0,šu-ma um-ma šu-ut-ma a-na ni-kà-sí a-gi₅-me-er-tim ú mì-iš-li lá kà-áš-da-ku GÍR ša a-šur ta-mì-a-šu 40 ma-na KÙ.BABBAR lá ma-ṣú-ni 30 ma-na KÙ.BABBAR lá kà-áš-du-ni 20 ma-na KÙ.BABBAR ša mì-iš-li-šu lá i-šu-ú-ni KÙ.BABBAR lu ša ra-mì-ni-šu lu ša um-mì-a-ni-šu ša a-lim{ki} lu ša GÍN-lam₅ wa-áš-bu KÙ.BABBAR ma-lá na-áš-a-ku-ni lu wa-ar-ki-a e-zi-ib lu a-na pá-ni-a ú-šé-bi₄-il₅ a-na ni-kà-sí a-na ga,"If he says: 'For the accounting I can match neither the full amount nor half of it', make him swear by Aššur's dagger that he has not enough for 40 minas of silver, that 30 minas of silver is too much for him, that he does not even have 20 minas of silver, half his due, that neither silver of himself, nor of his investors in the City nor of those who live in Anatolia, <that> with whatever I carry with me or have left behind or have send ahead, that for the accounting, I cannot match either a full share or a half-share.",Interval 57-115; tokens 57-114; text is truncated at 'a-na ga'; remainder of tablet not preserved in this fragment
435,55b115ac-6a6d-48e6-86df-ff449b4b346b_6.0,[text not preserved in transliteration fragment],"Then make him swear by the dagger and let him state before the dagger his šaddu'utu-tax, and that he does not owe any additional šaddu'utu-taxes apart from the one he states under oath.",Suggested interval (119-115) is erroneous/inverted indicating text beyond the preserved transliteration; translation provided from high-quality translation
436,55b115ac-6a6d-48e6-86df-ff449b4b346b_7.0,[text not preserved in transliteration fragment],Take the šaddu-utum he owes.,Suggested interval (134-115) is erroneous/inverted indicating text beyond the preserved transliteration; translation provided from high-quality translation
437,574c81cd-2ba4-4245-9193-79382d4e43d1,a-na,To,Interval suggested (0-8) but adjusted to cover only a-na which corresponds to the guide translation To; the rest of the text (a-lá-ḫi-im DUMU ša-lim-a-šur KIŠIB zu-ku-a DUMU a-šur-i-dí) corresponds to Ali-ahum son of Šalim-Aššur; seal of Zukuwa son of Aššūr-idī
438,5775a63c-7eaf-4a3b-881a-7fc2d1b322ec,ITU.KAM ku-zal-li li-mu-um en-na-sú-in DUMU šu-a-šur IGI e-na-aḫ-DINGIR DUMU šu-a-šur IGI a-dí-da DUMU ÌR-ad-i-li-šu IGI id-na-a,Month: Kuzallī eponymy Enna-Suen son of Šu-Aššur. Witnessed by Enah-ilī son of Šu-Aššur by Adida son of Warad-ilišu by Idnaya.,Interval (11-27) covers ITU.KAM through id-na-a; guide translation confirmed month name ku-zal-li as segment anchor
439,582baec5-d31d-4395-be78-6d67a649381f_0.0,10 ma-na KÙ.BABBAR ṣa-ru-pá-am a-mur-IŠTAR DUMU da-mu-ma i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé,Amur-Ištar son of Damuma has received 10 minas of refined silver from the proceeds of Ušinalam's wool.,Interval (1-13) correctly captures the main transaction clause ending with il₅-qé
440,582baec5-d31d-4395-be78-6d67a649381f_1.0,IGI a-šùr-i-mì-tí DUMU du-dí-ki IGI tù-ur-a-šùr DUMU ú-zu-a IGI en-na-sú-in,Witnessed by Aššur-imittī son of Dudiki by Tūr-Aššur son of Uzuwa by Enna-Suen.,Interval (14-23) correctly captures all three witness entries
441,583bdccb-f2e5-4879-8f12-e63ade2e9fb5_0.0,KIŠIB ú-ra-a DUMU ma-na-na KIŠIB ì-lí-dan DUMU i-dí-a-šur KIŠIB ma-nu-um-ba-lúm-a-šur DUMU ib-ki-im,Sealed by Uraya son of Manana, by Ilī-dan son of Iddin-Aššur
442,583bdccb-f2e5-4879-8f12-e63ade2e9fb5_1.0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.,Interval (12-24) is correct; covers the colony giving and testimony formula
443,58cc8096-5883-4058-9303-ba759e526058_0,a-na ta-ar-bi₄-tim ù-ku-ul-tí-im ù qú-bu-ri-im ša me-er-ú-at kà-áp-sí-a a-na AN.NA ta-ad-mì-iq-tim ša DUMU.MÍ ḫa-na-na DAM ḫa-na-na ú me-er-ú ḫa-na-na mì-ma a-na kà-áp-sí-a DAM a-lá-bi₄-im i-dí-nu-ni a-na kà-áp-sí-a ú-lá i-tù-ru,"For the costs of upbringing, the food and the tomb of the daughters of Kapsiya, for the tin, the venture credit of the daughter of Hanana, Hanana's wife and sons will not raise claims against Kapsiya for anything they have given to Kapsiya, wife of Ali-abum.",Segment break adjusted from token 25 to token 28 to capture the full clause ending with i-tù-ru
