,id,source_id,row_index,segment_idx,akk,eng,transliteration,translation
172,172,,186,0,KIŠIB a-šùr-ba-ni ,Seal of Aššur-bāni;,KIŠIB a-šùr-ba-ni ,Seal of Aššur-bāni;
173,173,,187,0,a-na šu-pè-e-nu-ma-an DUMU ma-lá <gap> a <gap>, to Šuppinuman son of Mala<gap>,a-na šu-pè-e-nu-ma-an DUMU ma-lá <gap> a <gap>, to Šuppinuman son of Mala<gap>
174,174,,188,0,KIŠIB ib-ni-{d}IM KIŠIB id-na-a KIŠIB a-zu-za-a ,"Seal of Ibnī-Adad, seal of Idnaya, seal of Azuzaya.",KIŠIB ib-ni-{d}IM KIŠIB id-na-a KIŠIB a-zu-za-a ,"Seal of Ibnī-Adad, seal of Idnaya, seal of Azuzaya."
175,175,,189,0,ša be-ú-lá-at PUZUR₄-ša-du-e ṭup-pu-um ša e-li-a-ni sà-ar ša ku-nu-ki ša i-ri-ší-im, Concerning Puzur-šadu'e's working capital: any tablet that may appear is invalid - one with Irišum's seal.,ša be-ú-lá-at PUZUR₄-ša-du-e ṭup-pu-um ša e-li-a-ni sà-ar ša ku-nu-ki ša i-ri-ší-im, Concerning Puzur-šadu'e's working capital: any tablet that may appear is invalid - one with Irišum's seal.
176,176,,190,0,KIŠIB šu-nu-nu DUMU a-mur-IŠTAR KIŠIB zu-zu DUMU en-um-ì-lí KIŠIB {d}MAR.TU-ba-ni DUMU šu-lá-áb-ra-at KIŠIB šu-be-lim DUMU ili₅-ba-ni ,"Seal of Šu-Nūnu son of Amur-Ištar, seal of Zuzu son of Ennam-ilī, seal of Amurrum-bāni son of Šu-Ilabrat, seal of Šu-Bēlum son of Ilī-bāni.",KIŠIB šu-nu-nu DUMU a-mur-IŠTAR KIŠIB zu-zu DUMU en-um-ì-lí KIŠIB {d}MAR.TU-ba-ni DUMU šu-lá-áb-ra-at KIŠIB šu-be-lim DUMU ili₅-ba-ni ,"Seal of Šu-Nūnu son of Amur-Ištar, seal of Zuzu son of Ennam-ilī, seal of Amurrum-bāni son of Šu-Ilabrat, seal of Šu-Bēlum son of Ilī-bāni."
177,177,,191,0,<gap> ma-na KÙ.BABBAR i-ṣé-er šu-bé-lim DUMU ili₅-ba-ni i-ri-šum i-šu a-na 2 ITU.KAM i-ša-qal ITU.KAM na-ar-ma-ak a-šur ša ke-na-tim li-mu-um ša qá-tí a-mur-a-šur DUMU kà-ri-a šu-ma lá iš-qú-ul 3 GÍN.TA i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb," Šu-Bēlum son of Ilī-bāni owes <gap> minas of silver to Irišum. He will pay within 2 months. Month Narmak-Aššur-ša-kēnātim, eponymy after that of Amur-Aššur son of Karriya. If he has not paid he will add interest at the rate 3 shekels per month.",<gap> ma-na KÙ.BABBAR i-ṣé-er šu-bé-lim DUMU ili₅-ba-ni i-ri-šum i-šu a-na 2 ITU.KAM i-ša-qal ITU.KAM na-ar-ma-ak a-šur ša ke-na-tim li-mu-um ša qá-tí a-mur-a-šur DUMU kà-ri-a šu-ma lá iš-qú-ul 3 GÍN.TA i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb," Šu-Bēlum son of Ilī-bāni owes <gap> minas of silver to Irišum. He will pay within 2 months. Month Narmak-Aššur-ša-kēnātim, eponymy after that of Amur-Aššur son of Karriya. If he has not paid he will add interest at the rate 3 shekels per month."
178,178,,192,0,KIŠIB ba-ba-zu-a DUMU šu-a-nim KIŠIB DU₁₀-ṣí-li-a-šur DUMU a-li-li KIŠIB šu-IŠTAR DUMU a-šùr-lá-ma-sí ,"Seal of Babazua son of Šu-Anum, seal of Ṭāb-ṣill-Aššur son of Ali-ilī, seal of Šu-Ištar son of Aššur-lamassī.",KIŠIB ba-ba-zu-a DUMU šu-a-nim KIŠIB DU₁₀-ṣí-li-a-šur DUMU a-li-li KIŠIB šu-IŠTAR DUMU a-šùr-lá-ma-sí ,"Seal of Babazua son of Šu-Anum, seal of Ṭāb-ṣill-Aššur son of Ali-ilī, seal of Šu-Ištar son of Aššur-lamassī."
179,179,,193,0,a-na a-wa-tim a-ni-a-tim kà-ru-um du-ur-ḫu-mì-it i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in, The Durhumit colony gave us for these proceedings and we gave our testimony before Aššur's dagger.,a-na a-wa-tim a-ni-a-tim kà-ru-um du-ur-ḫu-mì-it i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in, The Durhumit colony gave us for these proceedings and we gave our testimony before Aššur's dagger.
180,180,,194,0,KIŠIB lá-qé-ep DUMU šu-a-šur KIŠIB ku-ra DUMU i-dí-a-šur KIŠIB a-šur-lá-ma-sí ,"Seal of Lā-qēp son of Šu-Aššur, seal of Kura son of Iddin-Aššur, seal of Aššur-lamassī<gap>",KIŠIB lá-qé-ep DUMU šu-a-šur KIŠIB ku-ra DUMU i-dí-a-šur KIŠIB a-šur-lá-ma-sí ,"Seal of Lā-qēp son of Šu-Aššur, seal of Kura son of Iddin-Aššur, seal of Aššur-lamassī<gap>"
181,181,,195,0,<gap> 12.5 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er lá-qé-ep DUMU šu-a-šur DAM.GÀR-ru-um i-šu iš-tù ḫa-muš-tim ša ku-da-tim ITU.KAM té-i-na-tim li-mu-um a-šur-ma-lik DUMU a-lá-ḫi-im DINGIR ša-pá-tám i-li-ik-ma i e-ra-bi₄-šu-ma i kà-né-eš ITU.2.KAM i-lá-ak-ma KÙ.BABBAR i-ša-qal šu-ma lá iš-qú-ul 1 ma-na-im 1 GÍN.TA ṣí-ib-tám i-na ITU.KAM-im ú-ṣa-áb ša-ni-um ṭup-pu-šu ," Lā-qēp son of Šu-Aššur owes 12.5 minas 5 shekels of refined silver to a merchant. Reckoned from the week of Kudātum, month Tē'inātum, eponymy Aššur-malik son of Ali-ahum, when the (moon-)god reached the fifteenth day, he will pay the silver 2 months after his arrival in Kanesh. If he has not paid in time, he must add interest at the rate of 1 shekel per mina per month. His second tablet: ",<gap> 12.5 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er lá-qé-ep DUMU šu-a-šur DAM.GÀR-ru-um i-šu iš-tù ḫa-muš-tim ša ku-da-tim ITU.KAM té-i-na-tim li-mu-um a-šur-ma-lik DUMU a-lá-ḫi-im DINGIR ša-pá-tám i-li-ik-ma i e-ra-bi₄-šu-ma i kà-né-eš ITU.2.KAM i-lá-ak-ma KÙ.BABBAR i-ša-qal šu-ma lá iš-qú-ul 1 ma-na-im 1 GÍN.TA ṣí-ib-tám i-na ITU.KAM-im ú-ṣa-áb ša-ni-um ṭup-pu-šu ," Lā-qēp son of Šu-Aššur owes 12.5 minas 5 shekels of refined silver to a merchant. Reckoned from the week of Kudātum, month Tē'inātum, eponymy Aššur-malik son of Ali-ahum, when the (moon-)god reached the fifteenth day, he will pay the silver 2 months after his arrival in Kanesh. If he has not paid in time, he must add interest at the rate of 1 shekel per mina per month. His second tablet: "
182,182,,196,0,KIŠIB DINGIR-mu-ta-bi₄-il₅ DUMU a-mur-IŠTAR KIŠIB lá-qé-ep DUMU PUZUR₄-ša-du-e KIŠIB lá-qé-ep DUMU šu-a-šur ,"Seal of Ilī-muttabbil son of Amur-Ištar, seal of Lā-qēp son of Puzur-šadu'e, seal of Lā-qēp son of Šu-Aššur.",KIŠIB DINGIR-mu-ta-bi₄-il₅ DUMU a-mur-IŠTAR KIŠIB lá-qé-ep DUMU PUZUR₄-ša-du-e KIŠIB lá-qé-ep DUMU šu-a-šur ,"Seal of Ilī-muttabbil son of Amur-Ištar, seal of Lā-qēp son of Puzur-šadu'e, seal of Lā-qēp son of Šu-Aššur."
183,183,,197,0,10 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er lá-qé-ep DUMU šu-a-šur DAM.GÀR-ru-um i-šu iš-tù ḫa-muš-tim ša i-tur₄-DINGIR DUMU a-mur-IŠTAR ITU.KAM bé-el-té-kà-lim li-mu-um ša qá-tí šu-sú-in KÙ.BABBAR a-na 12 ḫa-am-ša-tim i-ša-qal šu-ma i ma-lá u₄-me-šu KÙ.BABBAR lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám a-na ma-na-im i-na ITU.KAM-im ú-ṣa," Lā-qēp son of Šu-Aššur owed 10 minas of refined silver to a merchant. Reckoned from the week of Itūr-ilī son of Amur-Ištar, month Bēlat-ekallim, eponymy after Šu-Suen, he must pay the silver within 12 weeks. If he has not paid the silver within his stipulated term, he must add interest in accordance with the rule of the colony per mina per month.",10 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er lá-qé-ep DUMU šu-a-šur DAM.GÀR-ru-um i-šu iš-tù ḫa-muš-tim ša i-tur₄-DINGIR DUMU a-mur-IŠTAR ITU.KAM bé-el-té-kà-lim li-mu-um ša qá-tí šu-sú-in KÙ.BABBAR a-na 12 ḫa-am-ša-tim i-ša-qal šu-ma i ma-lá u₄-me-šu KÙ.BABBAR lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám a-na ma-na-im i-na ITU.KAM-im ú-ṣa," Lā-qēp son of Šu-Aššur owed 10 minas of refined silver to a merchant. Reckoned from the week of Itūr-ilī son of Amur-Ištar, month Bēlat-ekallim, eponymy after Šu-Suen, he must pay the silver within 12 weeks. If he has not paid the silver within his stipulated term, he must add interest in accordance with the rule of the colony per mina per month."
184,184,,198,0,KIŠIB a-ba-ba ,Seal of Ababa;,KIŠIB a-ba-ba ,Seal of Ababa;
185,185,,199,0,a-na a-lá-ḫi-im DUMU šál-ma-a-šur, to Ali-ahum son of Šalim-Aššur.,a-na a-lá-ḫi-im DUMU šál-ma-a-šur, to Ali-ahum son of Šalim-Aššur.
186,186,,200,0,KIŠIB en-um-a-šur DUMU IŠTAR-lá-ma-sí KIŠIB in-ba-a-šur DUMU pì-lá-aḫ-sú-in KIŠIB PUZUR₄.IŠTAR DUMU DINGIR-na-da ,"Seal of Ennam-Aššur, son of Ištar-lamassī, seal of Inib-Aššur, son of Pilah-Suen, seal of Puzur-Ištar, son of Ilī-nādā.",KIŠIB en-um-a-šur DUMU IŠTAR-lá-ma-sí KIŠIB in-ba-a-šur DUMU pì-lá-aḫ-sú-in KIŠIB PUZUR₄.IŠTAR DUMU DINGIR-na-da ,"Seal of Ennam-Aššur, son of Ištar-lamassī, seal of Inib-Aššur, son of Pilah-Suen, seal of Puzur-Ištar, son of Ilī-nādā."
187,187,,201,0,3 GÍN KÙ.BABBAR i-ṣé-er PUZUR₄.IŠTAR DUMU DINGIR-na-da DAM.GÀR i-šu iš-tù ḫa-mu-uš-tim ša šu-ku-bi-im ú ka-zi-a 22.5 ŠE i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb ITU.KAM ma-ḫu-ur-DINGIR li-mu-um ša qá-té {d}IŠKUR-ba-ni," 3 shekels of silver Puzur-Ištar, son of Ilī-nādā owes to the creditor. From the week of Šu-Kūbum and Kaziya he will add 1 / 8 shekel per month as interest. Month IV, eponymy of the successor of Adad-bāni.",3 GÍN KÙ.BABBAR i-ṣé-er PUZUR₄.IŠTAR DUMU DINGIR-na-da DAM.GÀR i-šu iš-tù ḫa-mu-uš-tim ša šu-ku-bi-im ú ka-zi-a 22.5 ŠE i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb ITU.KAM ma-ḫu-ur-DINGIR li-mu-um ša qá-té {d}IŠKUR-ba-ni," 3 shekels of silver Puzur-Ištar, son of Ilī-nādā owes to the creditor. From the week of Šu-Kūbum and Kaziya he will add 1 / 8 shekel per month as interest. Month IV, eponymy of the successor of Adad-bāni."
188,188,,202,0,KIŠIB ì-lí-áš-ra-ni DUMU a-šur-DU₁₀ KIŠIB šu-sú-in DUMU da-dí-im KIŠIB e-nu-bé-lúm ,"Seal of Ilī-ašranni, son of Aššur-ṭāb, seal of Šu-Suen, son of Dadum, seal of Ennam-Bēlum,",KIŠIB ì-lí-áš-ra-ni DUMU a-šur-DU₁₀ KIŠIB šu-sú-in DUMU da-dí-im KIŠIB e-nu-bé-lúm ,"Seal of Ilī-ašranni, son of Aššur-ṭāb, seal of Šu-Suen, son of Dadum, seal of Ennam-Bēlum,"
189,189,,203,0,ša ší-tí ša ḫu-bu-ul ir-ma-a-šur i-na ITU.1.KAM bé-el-tí-É.GAL li-mu-um ša qá-té a-šur-na-da a-na <gap> nim i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA 1 ma-na-um ki-ma a-wa-at kà-ri-im ṣí-ib-tám i-na ITU.KAM-im ú-ṣa-áb," of the remainder of the debt of Ir'am-Aššur. In month I, eponymy of the successor of Aššur-nādā, to / within <gap> he will pay, If he does not pay 1.5 shekels per mina, in accordance with the regulation of the colony he will add as interest per month.",ša ší-tí ša ḫu-bu-ul ir-ma-a-šur i-na ITU.1.KAM bé-el-tí-É.GAL li-mu-um ša qá-té a-šur-na-da a-na <gap> nim i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA 1 ma-na-um ki-ma a-wa-at kà-ri-im ṣí-ib-tám i-na ITU.KAM-im ú-ṣa-áb," of the remainder of the debt of Ir'am-Aššur. In month I, eponymy of the successor of Aššur-nādā, to / within <gap> he will pay, If he does not pay 1.5 shekels per mina, in accordance with the regulation of the colony he will add as interest per month."
190,190,,204,0,KIŠIB ḫa-nu-nu-DUB.SAR ,"Seal of hanunu,",KIŠIB ḫa-nu-nu-DUB.SAR ,"Seal of hanunu,"
191,191,,205,0,li-ip-tí-IŠTAR DUMU lá-li-im ù ú-ṣur-ša-IŠTAR a-na a-la-ḫi-im DUMU šál-ma-a-šur," scribe, of Lipit-Ištar son of Lālum and of Uṣur-ša-Ištar; to Ali-ahum son of Šalim-Aššur. ",li-ip-tí-IŠTAR DUMU lá-li-im ù ú-ṣur-ša-IŠTAR a-na a-la-ḫi-im DUMU šál-ma-a-šur," scribe, of Lipit-Ištar son of Lālum and of Uṣur-ša-Ištar; to Ali-ahum son of Šalim-Aššur. "
192,192,,206,0,KIŠIB a-šùr-e-mu-qí KIŠIB en-nam-a-šùr DUMU me-na-a KIŠIB i-dí-a-bi-im ,"Seal of Aššur-emūqi, seal of Ennam-Aššur son of Menaya, seal of Iddin-abum.",KIŠIB a-šùr-e-mu-qí KIŠIB en-nam-a-šùr DUMU me-na-a KIŠIB i-dí-a-bi-im ,"Seal of Aššur-emūqi, seal of Ennam-Aššur son of Menaya, seal of Iddin-abum."
193,193,,208,0,KIŠIB DINGIR-na-da DUMU ba-zi-a KIŠIB en-nam-a-šùr DUMU kà-ri-a KIŠIB ki-ta-a ,"Seal of Ilī-nādā, son of Baziya, seal of Ennam-Ašsur, son of Kariya, seal of Kitaya,",KIŠIB DINGIR-na-da DUMU ba-zi-a KIŠIB en-nam-a-šùr DUMU kà-ri-a KIŠIB ki-ta-a ,"Seal of Ilī-nādā, son of Baziya, seal of Ennam-Ašsur, son of Kariya, seal of Kitaya,"
194,194,,209,0,ša 0.5 ma-na KÙ.BABBAR ṣa-ru-pá-am ša e-lá-ma ki-ta-a i-bé-el iš-tí KÙ.BABBAR uk-ta-al šu-ma a-e-ša-ma ú-da-pí-ir 1 GÍN.TA i-na ITU.1.KAM i-ma-nu-šu," that Kitaya will manage 0.5 mina of silver belonging to Elamma. He is held by the silver. If he goes away to somewhere else, he will charge him 1 shekel per month.",ša 0.5 ma-na KÙ.BABBAR ṣa-ru-pá-am ša e-lá-ma ki-ta-a i-bé-el iš-tí KÙ.BABBAR uk-ta-al šu-ma a-e-ša-ma ú-da-pí-ir 1 GÍN.TA i-na ITU.1.KAM i-ma-nu-šu," that Kitaya will manage 0.5 mina of silver belonging to Elamma. He is held by the silver. If he goes away to somewhere else, he will charge him 1 shekel per month."
195,195,,210,0,KIŠIB {d}MAR.TU-ba-ni DUMU šu-{d}NIN.ŠUBUR ,Seal of Amurrum-bāni son of Šu-Ilabrat.,KIŠIB {d}MAR.TU-ba-ni DUMU šu-{d}NIN.ŠUBUR ,Seal of Amurrum-bāni son of Šu-Ilabrat.
196,196,,211,0,ṭup-pu-um ša ší-bu-tí-a ša IGI šu-ga-ri-a-e ša a-šur wa-bar-tum ša ša-mu-ḫa i-dí-ni-ma ší-bu-tí a-dí-in, The tablet with my testimony before the šugarri'ā'u of Aššur. The station at Šamuha gave me and I gave my testimony.,ṭup-pu-um ša ší-bu-tí-a ša IGI šu-ga-ri-a-e ša a-šur wa-bar-tum ša ša-mu-ḫa i-dí-ni-ma ší-bu-tí a-dí-in, The tablet with my testimony before the šugarri'ā'u of Aššur. The station at Šamuha gave me and I gave my testimony.
197,197,,212,0,KIŠIB i-ku-pí-a DUMU e-dí-na-a KIŠIB i-ri-ší-im DUMU a-mur-{d}UTU KIŠIB {d}UTU.DU₁₀ DUMU am-ri-a ,"Seal of Ikūn-pīya son of Eddinaya, seal of Irišum son of Amur-Šamaš, seal of Šamaš-ṭāb son of Amriya.",KIŠIB i-ku-pí-a DUMU e-dí-na-a KIŠIB i-ri-ší-im DUMU a-mur-{d}UTU KIŠIB {d}UTU.DU₁₀ DUMU am-ri-a ,"Seal of Ikūn-pīya son of Eddinaya, seal of Irišum son of Amur-Šamaš, seal of Šamaš-ṭāb son of Amriya."
198,198,,213,0,<gap> ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er {d}UTU.DU₁₀ ḫu-dí-da tí-šu iš-tù ḫa-muš-tim ša pu-šu-ke-en₆ ù PUZUR₄-a-šur a-na 3 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb ITU.KAM ṣí-ip-im li-mu-um e-lá-lí KÙ.BABBAR ša DAM.GÀR-ri-im," Šamaš-ṭāb owes <gap> minas of refined silver to hudida. Reckoned from the week of Pūšu-kēn and Puzur-Aššur he must pay within 3 weeks. If he has not paid, he must add interest in accordance with the rule of the colony. Month Ṣip'um, eponymy Elāli. The silver belongs to a merchant.",<gap> ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er {d}UTU.DU₁₀ ḫu-dí-da tí-šu iš-tù ḫa-muš-tim ša pu-šu-ke-en₆ ù PUZUR₄-a-šur a-na 3 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb ITU.KAM ṣí-ip-im li-mu-um e-lá-lí KÙ.BABBAR ša DAM.GÀR-ri-im," Šamaš-ṭāb owes <gap> minas of refined silver to hudida. Reckoned from the week of Pūšu-kēn and Puzur-Aššur he must pay within 3 weeks. If he has not paid, he must add interest in accordance with the rule of the colony. Month Ṣip'um, eponymy Elāli. The silver belongs to a merchant."
199,199,,214,0,KIŠIB pá-ru-ur-tim ,Seal of Parrurtum;,KIŠIB pá-ru-ur-tim ,Seal of Parrurtum;
200,200,,215,0,a-na i-dí-a-bi-im DUMU na-ar-me-a, to Iddin-abum son of Narmea.,a-na i-dí-a-bi-im DUMU na-ar-me-a, to Iddin-abum son of Narmea.
201,201,,216,0,KIŠIB PUZUR₄-a-šur DUMU i-ku-pí-a KIŠIB dan-a-šur DUMU PUZUR₄-a-šur KIŠIB pè-ru-a DUMU šu-up-ip-ra KIŠIB pè-ru-a DUMU a-ra-wa KIŠIB za-ba DUMU ḫa-nu KIŠIB lu-lu DUMU ḫa-bi ,"Seal of Puzur-Aššur, son of Ikūn-pīya, seal of Dān-Aššur, son of Puzur-Aššur, seal of Peruwa, son of Šuppibra, seal of Peruwa, son of Arawa, seal of Zaba, son of hanu, seal of Lullu, son of hapi,",KIŠIB PUZUR₄-a-šur DUMU i-ku-pí-a KIŠIB dan-a-šur DUMU PUZUR₄-a-šur KIŠIB pè-ru-a DUMU šu-up-ip-ra KIŠIB pè-ru-a DUMU a-ra-wa KIŠIB za-ba DUMU ḫa-nu KIŠIB lu-lu DUMU ḫa-bi ,"Seal of Puzur-Aššur, son of Ikūn-pīya, seal of Dān-Aššur, son of Puzur-Aššur, seal of Peruwa, son of Šuppibra, seal of Peruwa, son of Arawa, seal of Zaba, son of hanu, seal of Lullu, son of hapi,"
202,202,,217,0,lu-lu DUMU ḫa-bi ša IŠTAR-lá-ma-sí DAM ku-ni-lim e-ḫu-zu iš-tù a-wi-il₅-tum me-ta-at-ni a-wa-tù-šu-nu i-gi₅-im-ra-ma lu gám-ra-am ša a-na a-wi-il₅-tim ig-mu-ru lu a-na ì-lí-a ša a-na ki-šar-ší-im i-ni-id-ú lu-lu gám-ra-am ig-mu-ru lu ša a-wi-il₅-tim lu a ša ì-lí-a a-na mì-ma šu-um-šu a-na me-er-e ḫa-ni-im lu-lu DUMU ḫa-be lá i-tù-ar," <that is> Lullu, son of hapi, who had married Ištar-lamassī, wife of Kūn-ilum. After the lady had died, their affairs were were settled and for the expenses made for the lady, and those made for Iliya, who had been thrown into jail <and> whose expenses Lullu had paid, for both those made for the lady, and those made for Iliya, Lullu, son of hapi, will not raise any claims against the sons of hanum.",lu-lu DUMU ḫa-bi ša IŠTAR-lá-ma-sí DAM ku-ni-lim e-ḫu-zu iš-tù a-wi-il₅-tum me-ta-at-ni a-wa-tù-šu-nu i-gi₅-im-ra-ma lu gám-ra-am ša a-na a-wi-il₅-tim ig-mu-ru lu a-na ì-lí-a ša a-na ki-šar-ší-im i-ni-id-ú lu-lu gám-ra-am ig-mu-ru lu ša a-wi-il₅-tim lu a ša ì-lí-a a-na mì-ma šu-um-šu a-na me-er-e ḫa-ni-im lu-lu DUMU ḫa-be lá i-tù-ar," <that is> Lullu, son of hapi, who had married Ištar-lamassī, wife of Kūn-ilum. After the lady had died, their affairs were were settled and for the expenses made for the lady, and those made for Iliya, who had been thrown into jail <and> whose expenses Lullu had paid, for both those made for the lady, and those made for Iliya, Lullu, son of hapi, will not raise any claims against the sons of hanum."
203,203,,218,0,a-na ša ki-ma i-a-tí ù bé-lá-nim ,To my representatives and Bēlānum; ,a-na ša ki-ma i-a-tí ù bé-lá-nim ,To my representatives and Bēlānum; 
204,204,,219,0,KIŠIB en-um-a-šur,seal of Ennam-Aššur.,KIŠIB en-um-a-šur,seal of Ennam-Aššur.
205,205,,220,0,KIŠIB kà-ri-im ,Seal of the,KIŠIB kà-ri-im ,Seal of the
206,206,,222,0,KIŠIB {d}IŠKUR-pí-la-aḫ DUMU a-ni-nim KIŠIB a-šur-lá-ma-sí DUMU la-qé-eb KIŠIB na-zi DUMU PUZUR₄-ba-ni-ni ,"Seal of Adad-pilah, son of Anīnum, seal of Aššur-lamassī, son of Lā-qēp, seal of Nazi, son of Puzur-banini.",KIŠIB {d}IŠKUR-pí-la-aḫ DUMU a-ni-nim KIŠIB a-šur-lá-ma-sí DUMU la-qé-eb KIŠIB na-zi DUMU PUZUR₄-ba-ni-ni ,"Seal of Adad-pilah, son of Anīnum, seal of Aššur-lamassī, son of Lā-qēp, seal of Nazi, son of Puzur-banini."
207,207,,223,0,3 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šur-lá-ma-sí DUMU la-qé-ep e-lá-ma i-šu iš-tù ḫa-muš-tim ša e-lá-ma ú zu-ba a-na 24 ḫa-am-ša-tim i-ša-qal šu-ma i-na u₄-me-šu ma-al-ú-tim lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.KAM-im ṣí-ib-tám ú-ṣa-áb ITU.KAM be-el-tí-É.GAL-lim li-mu-um ša qá-té šu-ḫu-bu-ur 8 ma-na KÙ.BABBAR i-ṣé-er šu-li DUMU PUZUR₄-a-be-eḫ e-lá-ma i-šu 1.5 GÍN.TA ṣí-ib-tám i-na ITU.KAM-im a-na 1 ma-na-im ú-ṣa-áb li-mu-um ša qá-té ba-zi-a DUMU šé-ep-a-lim ," 3 minas of refined silver Aššur-lamassī, son of Lā-qēp, owes to Elamma. He will pay within 24 months from the week of Elamma and Zuba. If he does not pay when his term is up, he will add as interest 1.5 shekel per mina per month. Month I, eponymy of the successor of Šu-hubur. 8 minas of refined silver Šuli, son of Puzur-Abeh, owes to Elamma. He will add as interest 1.5 shekel per mina per month. Eponymy of the successor of Baziya, son of Šēp-ālim. ",3 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šur-lá-ma-sí DUMU la-qé-ep e-lá-ma i-šu iš-tù ḫa-muš-tim ša e-lá-ma ú zu-ba a-na 24 ḫa-am-ša-tim i-ša-qal šu-ma i-na u₄-me-šu ma-al-ú-tim lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.KAM-im ṣí-ib-tám ú-ṣa-áb ITU.KAM be-el-tí-É.GAL-lim li-mu-um ša qá-té šu-ḫu-bu-ur 8 ma-na KÙ.BABBAR i-ṣé-er šu-li DUMU PUZUR₄-a-be-eḫ e-lá-ma i-šu 1.5 GÍN.TA ṣí-ib-tám i-na ITU.KAM-im a-na 1 ma-na-im ú-ṣa-áb li-mu-um ša qá-té ba-zi-a DUMU šé-ep-a-lim ," 3 minas of refined silver Aššur-lamassī, son of Lā-qēp, owes to Elamma. He will pay within 24 months from the week of Elamma and Zuba. If he does not pay when his term is up, he will add as interest 1.5 shekel per mina per month. Month I, eponymy of the successor of Šu-hubur. 8 minas of refined silver Šuli, son of Puzur-Abeh, owes to Elamma. He will add as interest 1.5 shekel per mina per month. Eponymy of the successor of Baziya, son of Šēp-ālim. "
208,208,,224,0,KIŠIB DINGIR-ba-ni DUMU ib-ni-lí KIŠIB a-šur-ma-lik DUMU PUZUR₄-a-šur KIŠIB i-dí-a-šur DUMU PUZUR₄-a-be-eḫ ,"Seal of Ilī-bāni, son of Ibni-ilī, seal of Aššur-mālik, son of Puzur-Aššur, seal of Iddin-Aššur, son of Puzur-Abeh!.",KIŠIB DINGIR-ba-ni DUMU ib-ni-lí KIŠIB a-šur-ma-lik DUMU PUZUR₄-a-šur KIŠIB i-dí-a-šur DUMU PUZUR₄-a-be-eḫ ,"Seal of Ilī-bāni, son of Ibni-ilī, seal of Aššur-mālik, son of Puzur-Aššur, seal of Iddin-Aššur, son of Puzur-Abeh!."
209,209,,225,0,4 GÚ 32 ma-na URUDU ḫa-bu-ra-ta-am i-ṣé-er i-dí-a-šur DUMU PUZUR₄-a-be-eḫ e-lá-ma i-šu iš-tù ḫa-muš-tim ša a-šur-re-ṣí a-na 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-t," 4 talents 32 minas of copper from haburata Iddin-Aššur, son of Puzur-Abeh, owes to Elamma. He will pay within 14 weeks from the week of Aššur-rēṣī. If he does not pay he will add interest in conformity with the rule of the colony.  ",4 GÚ 32 ma-na URUDU ḫa-bu-ra-ta-am i-ṣé-er i-dí-a-šur DUMU PUZUR₄-a-be-eḫ e-lá-ma i-šu iš-tù ḫa-muš-tim ša a-šur-re-ṣí a-na 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-t," 4 talents 32 minas of copper from haburata Iddin-Aššur, son of Puzur-Abeh, owes to Elamma. He will pay within 14 weeks from the week of Aššur-rēṣī. If he does not pay he will add interest in conformity with the rule of the colony.  "
210,210,,226,0,KIŠIB lá-qé-pì-im DUMU i-zi-za-am-DINGIR ,"Seal of La-qēpum, son of Izzizam-ilī.",KIŠIB lá-qé-pì-im DUMU i-zi-za-am-DINGIR ,"Seal of La-qēpum, son of Izzizam-ilī."
